UniqueID,Price,Distance,CarrierNum,Day,DayOfBooking
06_01_N4YBAA_43,142.84,986,1,3,7
10_01_N439AA_43,143.64,986,1,7,4
14_01_N466AA_43,141.01,986,1,4,1
18_01_N566AA_43,140.8,986,1,1,5
22_01_N547AA_43,141.42,986,1,5,2
26_01_N4XPAA_43,142.46,986,1,2,6
30_01_N4XVAA_43,141.22,986,1,6,3
03_01_N4WJAA_43,141.04,986,1,7,4
07_01_N434AA_43,141.82,986,1,4,1
11_01_N468AA_43,142.77,986,1,1,5
15_01_N501AA_43,143.76,986,1,5,2
19_01_N499AA_43,144.15,986,1,2,6
23_01_N520AA_43,140.02,986,1,6,3
27_01_N4UCAA_43,143.0,986,1,3,7
31_01_N4XGAA_43,142.97,986,1,7,4
04_01_N3FWAA_44,536.15,2422,1,1,5
08_01_N3JYAA_44,533.53,2422,1,5,2
12_01_N3MLAA_44,533.96,2422,1,2,6
16_01_N3CXAA_44,535.88,2422,1,6,3
20_01_N3JNAA_44,533.69,2422,1,3,7
25_01_N3MNAA_44,536.24,2422,1,1,5
29_01_N3CEAA_44,536.13,2422,1,5,2
02_01_N3KPAA_45,536.57,2422,1,6,3
06_01_N3LBAA_45,536.26,2422,1,3,7
10_01_N3ADAA_45,534.88,2422,1,7,4
14_01_N3MUAA_45,536.33,2422,1,4,1
18_01_N3GHAA_45,534.02,2422,1,1,5
22_01_N3DXAA_45,535.04,2422,1,5,2
28_01_N3CEAA_45,533.07,2422,1,4,1
01_01_N3JUAA_46,372.28,1829,1,5,2
02_01_N3LTAA_47,370.07,1829,1,6,3
06_01_N3LKAA_47,373.56,1829,1,3,7
10_01_N3MKAA_47,372.43,1829,1,7,4
14_01_N3LRAA_47,374.11,1829,1,4,1
18_01_N3LCAA_47,370.52,1829,1,1,5
22_01_N3LNAA_47,372.83,1829,1,5,2
26_01_N3MHAA_47,371.27,1829,1,2,6
30_01_N3MEAA_47,369.84,1829,1,6,3
03_01_N877AA_48,128.61,868,1,7,4
07_01_N883AA_48,130.87,868,1,4,1
11_01_N870AA_48,130.84,868,1,1,5
15_01_N877AA_48,129.9,868,1,5,2
19_01_N883AA_48,128.8,868,1,2,6
23_01_N882AA_48,130.75,868,1,6,3
27_01_N883AA_48,128.44,868,1,3,7
31_01_N880AA_48,126.88,868,1,7,4
05_01_N4WKAA_50,92.28,550,1,2,6
10_01_N4YBAA_50,93.67,550,1,7,4
14_01_N4XTAA_50,92.73,550,1,4,1
19_01_N4XLAA_50,95.04,550,1,2,6
24_01_N4XRAA_50,91.58,550,1,7,4
28_01_N520AA_50,93.38,550,1,4,1
04_01_N437AA_51,92.53,550,1,1,5
08_01_N4YLAA_51,92.36,550,1,5,2
12_01_N4YAAA_51,94.28,550,1,2,6
16_01_N489AA_51,93.59,550,1,6,3
20_01_N570AA_51,93.15,550,1,3,7
24_01_N4XDAA_51,94.77,550,1,7,4
28_01_N439AA_51,95.53,550,1,4,1
01_01_N3MCAA_52,503.06,2311,1,5,2
05_01_N3LPAA_52,503.52,2311,1,2,6
09_01_N3MGAA_52,503.32,2311,1,6,3
13_01_N3LEAA_52,504.13,2311,1,3,7
17_01_N3MBAA_52,503.94,2311,1,7,4
21_01_N3CUAA_52,506.26,2311,1,4,1
29_01_N3MJAA_52,505.55,2311,1,5,2
02_01_N3ABAA_53,146.82,1012,1,6,3
06_01_N3EEAA_53,148.14,1012,1,3,7
10_01_N3JNAA_53,144.68,1012,1,7,4
14_01_N3ENAA_53,145.3,1012,1,4,1
18_01_N3MVAA_53,148.26,1012,1,1,5
22_01_N3GYAA_53,149.5,1012,1,5,2
26_01_N3GYAA_53,147.22,1012,1,2,6
30_01_N3LAAA_53,145.76,1012,1,6,3
03_01_N3JMAA_54,145.31,1005,1,7,4
07_01_N3CXAA_54,147.19,1005,1,4,1
11_01_N3BMAA_54,142.49,1005,1,1,5
15_01_N3JKAA_54,146.81,1005,1,5,2
19_01_N3KYAA_54,142.95,1005,1,2,6
23_01_N3KWAA_54,142.83,1005,1,6,3
27_01_N3JKAA_54,145.84,1005,1,3,7
31_01_N3CWAA_54,145.12,1005,1,7,4
04_01_N3HLAA_56,336.82,1709,1,1,5
08_01_N3FRAA_56,339.14,1709,1,5,2
12_01_N3FWAA_56,336.72,1709,1,2,6
16_01_N3EFAA_56,338.42,1709,1,6,3
20_01_N3JEAA_56,340.23,1709,1,3,7
24_01_N3HCAA_56,338.74,1709,1,7,4
28_01_N3HTAA_56,338.7,1709,1,4,1
01_01_N3ENAA_57,338.41,1709,1,5,2
05_01_N3JHAA_57,339.39,1709,1,2,6
09_01_N3DNAA_57,339.77,1709,1,6,3
13_01_N3DUAA_57,336.44,1709,1,3,7
17_01_N3DAAA_57,339.47,1709,1,7,4
21_01_N3NDAA_57,337.25,1709,1,4,1
25_01_N3KNAA_57,338.04,1709,1,1,5
29_01_N3ADAA_57,340.69,1709,1,5,2
02_01_N855AA_58,556.23,2504,1,6,3
06_01_N865AA_58,558.26,2504,1,3,7
10_01_N850AA_58,559.38,2504,1,7,4
14_01_N858AA_58,560.38,2504,1,4,1
18_01_N854AA_58,559.64,2504,1,1,5
22_01_N862AA_58,559.66,2504,1,5,2
26_01_N865AA_58,558.13,2504,1,2,6
30_01_N863AA_58,559.46,2504,1,6,3
03_01_N864AA_59,555.47,2504,1,7,4
07_01_N861AA_59,558.93,2504,1,4,1
11_01_N857AA_59,559.24,2504,1,1,5
15_01_N865AA_59,556.56,2504,1,5,2
19_01_N860AA_59,555.94,2504,1,2,6
23_01_N861AA_59,554.94,2504,1,6,3
27_01_N854AA_59,559.58,2504,1,3,7
31_01_N853AA_59,556.67,2504,1,7,4
05_01_N863AA_60,177.83,1121,1,2,6
09_01_N3AHAA_60,177.94,1121,1,6,3
13_01_N863AA_60,175.14,1121,1,3,7
17_01_N5FMAA_60,174.53,1121,1,7,4
21_01_N864AA_60,175.49,1121,1,4,1
25_01_N854AA_60,177.49,1121,1,1,5
29_01_N5DKAA_60,176.71,1121,1,5,2
02_01_N387AA_61,176.03,1121,1,6,3
07_01_N353AA_61,180.13,1121,1,4,1
11_01_N367AA_61,178.05,1121,1,1,5
15_01_N5FSAA_61,179.91,1121,1,5,2
19_01_N5ERAA_61,178.57,1121,1,2,6
23_01_N5DGAA_61,176.38,1121,1,6,3
27_01_N5EUAA_61,176.85,1121,1,3,7
31_01_N5DVAA_61,179.44,1121,1,7,4
04_01_N010AA_62,137.92,964,1,1,5
04_01_N3CDAA_63,141.49,964,1,1,5
08_01_N3BHAA_63,137.71,964,1,5,2
