UniqueID,Price,Distance,CarrierNum,Day,DayOfBooking
06_01_N4YBAA_43,135.81,986,1,3,2
10_01_N439AA_43,137.0,986,1,7,6
14_01_N466AA_43,135.19,986,1,4,3
18_01_N566AA_43,134.67,986,1,1,7
22_01_N547AA_43,135.81,986,1,5,4
26_01_N4XPAA_43,136.2,986,1,2,1
30_01_N4XVAA_43,136.17,986,1,6,5
03_01_N4WJAA_43,138.19,986,1,7,6
07_01_N434AA_43,135.66,986,1,4,3
11_01_N468AA_43,136.75,986,1,1,7
15_01_N501AA_43,135.4,986,1,5,4
19_01_N499AA_43,136.07,986,1,2,1
23_01_N520AA_43,139.56,986,1,6,5
27_01_N4UCAA_43,137.78,986,1,3,2
31_01_N4XGAA_43,137.34,986,1,7,6
04_01_N3FWAA_44,528.41,2422,1,1,7
08_01_N3JYAA_44,529.35,2422,1,5,4
12_01_N3MLAA_44,528.37,2422,1,2,1
16_01_N3CXAA_44,527.92,2422,1,6,5
20_01_N3JNAA_44,529.61,2422,1,3,2
25_01_N3MNAA_44,529.04,2422,1,1,7
29_01_N3CEAA_44,532.44,2422,1,5,4
02_01_N3KPAA_45,529.19,2422,1,6,5
06_01_N3LBAA_45,532.4,2422,1,3,2
10_01_N3ADAA_45,530.65,2422,1,7,6
14_01_N3MUAA_45,527.54,2422,1,4,3
18_01_N3GHAA_45,529.14,2422,1,1,7
22_01_N3DXAA_45,529.01,2422,1,5,4
28_01_N3CEAA_45,529.58,2422,1,4,3
01_01_N3JUAA_46,369.0,1829,1,5,4
02_01_N3LTAA_47,366.07,1829,1,6,5
06_01_N3LKAA_47,365.4,1829,1,3,2
10_01_N3MKAA_47,365.8,1829,1,7,6
14_01_N3LRAA_47,367.2,1829,1,4,3
18_01_N3LCAA_47,364.59,1829,1,1,7
22_01_N3LNAA_47,367.33,1829,1,5,4
26_01_N3MHAA_47,368.92,1829,1,2,1
30_01_N3MEAA_47,365.7,1829,1,6,5
03_01_N877AA_48,121.34,868,1,7,6
07_01_N883AA_48,124.74,868,1,4,3
11_01_N870AA_48,123.48,868,1,1,7
15_01_N877AA_48,125.65,868,1,5,4
19_01_N883AA_48,124.04,868,1,2,1
23_01_N882AA_48,125.61,868,1,6,5
27_01_N883AA_48,125.36,868,1,3,2
31_01_N880AA_48,121.48,868,1,7,6
05_01_N4WKAA_50,91.06,550,1,2,1
10_01_N4YBAA_50,87.8,550,1,7,6
14_01_N4XTAA_50,87.59,550,1,4,3
19_01_N4XLAA_50,91.22,550,1,2,1
24_01_N4XRAA_50,88.79,550,1,7,6
28_01_N520AA_50,87.32,550,1,4,3
04_01_N437AA_51,86.89,550,1,1,7
08_01_N4YLAA_51,87.27,550,1,5,4
12_01_N4YAAA_51,88.76,550,1,2,1
16_01_N489AA_51,86.22,550,1,6,5
20_01_N570AA_51,89.82,550,1,3,2
24_01_N4XDAA_51,85.92,550,1,7,6
28_01_N439AA_51,85.8,550,1,4,3
01_01_N3MCAA_52,500.93,2311,1,5,4
05_01_N3LPAA_52,502.14,2311,1,2,1
09_01_N3MGAA_52,499.68,2311,1,6,5
13_01_N3LEAA_52,499.1,2311,1,3,2
17_01_N3MBAA_52,501.15,2311,1,7,6
21_01_N3CUAA_52,500.57,2311,1,4,3
29_01_N3MJAA_52,501.08,2311,1,5,4
02_01_N3ABAA_53,142.76,1012,1,6,5
06_01_N3EEAA_53,144.86,1012,1,3,2
10_01_N3JNAA_53,142.95,1012,1,7,6
14_01_N3ENAA_53,140.2,1012,1,4,3
18_01_N3MVAA_53,144.1,1012,1,1,7
22_01_N3GYAA_53,142.85,1012,1,5,4
26_01_N3GYAA_53,141.41,1012,1,2,1
30_01_N3LAAA_53,143.62,1012,1,6,5
03_01_N3JMAA_54,140.7,1005,1,7,6
07_01_N3CXAA_54,139.49,1005,1,4,3
11_01_N3BMAA_54,141.94,1005,1,1,7
15_01_N3JKAA_54,139.78,1005,1,5,4
19_01_N3KYAA_54,142.26,1005,1,2,1
23_01_N3KWAA_54,139.45,1005,1,6,5
27_01_N3JKAA_54,142.82,1005,1,3,2
31_01_N3CWAA_54,140.15,1005,1,7,6
04_01_N3HLAA_56,331.86,1709,1,1,7
08_01_N3FRAA_56,332.64,1709,1,5,4
12_01_N3FWAA_56,335.48,1709,1,2,1
16_01_N3EFAA_56,335.19,1709,1,6,5
20_01_N3JEAA_56,334.44,1709,1,3,2
24_01_N3HCAA_56,333.96,1709,1,7,6
28_01_N3HTAA_56,334.9,1709,1,4,3
01_01_N3ENAA_57,333.37,1709,1,5,4
05_01_N3JHAA_57,335.06,1709,1,2,1
09_01_N3DNAA_57,332.79,1709,1,6,5
13_01_N3DUAA_57,334.39,1709,1,3,2
17_01_N3DAAA_57,332.74,1709,1,7,6
21_01_N3NDAA_57,335.55,1709,1,4,3
25_01_N3KNAA_57,332.04,1709,1,1,7
29_01_N3ADAA_57,335.44,1709,1,5,4
02_01_N855AA_58,550.02,2504,1,6,5
06_01_N865AA_58,553.08,2504,1,3,2
10_01_N850AA_58,550.17,2504,1,7,6
14_01_N858AA_58,554.36,2504,1,4,3
18_01_N854AA_58,551.98,2504,1,1,7
22_01_N862AA_58,551.35,2504,1,5,4
26_01_N865AA_58,552.66,2504,1,2,1
30_01_N863AA_58,550.25,2504,1,6,5
03_01_N864AA_59,554.08,2504,1,7,6
07_01_N861AA_59,553.0,2504,1,4,3
11_01_N857AA_59,552.02,2504,1,1,7
15_01_N865AA_59,553.71,2504,1,5,4
19_01_N860AA_59,554.9,2504,1,2,1
23_01_N861AA_59,550.49,2504,1,6,5
27_01_N854AA_59,555.21,2504,1,3,2
31_01_N853AA_59,551.72,2504,1,7,6
05_01_N863AA_60,171.77,1121,1,2,1
09_01_N3AHAA_60,171.71,1121,1,6,5
13_01_N863AA_60,171.72,1121,1,3,2
17_01_N5FMAA_60,170.38,1121,1,7,6
21_01_N864AA_60,172.67,1121,1,4,3
25_01_N854AA_60,171.72,1121,1,1,7
29_01_N5DKAA_60,171.88,1121,1,5,4
02_01_N387AA_61,173.93,1121,1,6,5
07_01_N353AA_61,171.53,1121,1,4,3
11_01_N367AA_61,170.44,1121,1,1,7
15_01_N5FSAA_61,172.25,1121,1,5,4
19_01_N5ERAA_61,171.35,1121,1,2,1
23_01_N5DGAA_61,171.16,1121,1,6,5
27_01_N5EUAA_61,172.9,1121,1,3,2
31_01_N5DVAA_61,172.65,1121,1,7,6
04_01_N010AA_62,136.76,964,1,1,7
04_01_N3CDAA_63,134.17,964,1,1,7
08_01_N3BHAA_63,136.51,964,1,5,4
12_01_N3CDAA_63,136.79,964,1,2,1
16_01_N3FUAA_63,135.06,964,1,6,5
20_01_N3JMAA_63,133.36,964,1,3,2
24_01_N3KVAA_63,135.7,964,1,7,6
28_01_N3JAAA_63,134.16,964,1,4,3
01_01_N381AA_64,162.92,1089,1,5,4
05_01_N399AA_64,164.49,1089,1,2,1
09_01_N3JNAA_64,161.57,1089,1,6,5
13_01_N390AA_64,161.4,1089,1,3,2
17_01_N7BNAA_64,163.33,1089,1,7,6
21_01_N373AA_64,162.6,1089,1,4,3
27_01_N393AA_64,163.8,1089,1,3,2
31_01_N7BGAA_64,164.67,1089,1,7,6
04_01_N349AA_65,161.87,1089,1,1,7
