UniqueID,Price,Distance,CarrierNum,Day,DayOfBooking
06_01_N4YBAA_43,143.02,986,1,3,3
10_01_N439AA_43,140.07,986,1,7,7
14_01_N466AA_43,140.5,986,1,4,4
18_01_N566AA_43,141.46,986,1,1,1
22_01_N547AA_43,142.86,986,1,5,5
26_01_N4XPAA_43,143.77,986,1,2,2
30_01_N4XVAA_43,139.05,986,1,6,6
03_01_N4WJAA_43,141.43,986,1,7,7
07_01_N434AA_43,141.86,986,1,4,4
11_01_N468AA_43,142.37,986,1,1,1
15_01_N501AA_43,141.47,986,1,5,5
19_01_N499AA_43,140.83,986,1,2,2
23_01_N520AA_43,141.11,986,1,6,6
27_01_N4UCAA_43,141.67,986,1,3,3
31_01_N4XGAA_43,139.98,986,1,7,7
04_01_N3FWAA_44,533.88,2422,1,1,1
08_01_N3JYAA_44,535.44,2422,1,5,5
12_01_N3MLAA_44,532.36,2422,1,2,2
16_01_N3CXAA_44,535.0,2422,1,6,6
20_01_N3JNAA_44,534.35,2422,1,3,3
25_01_N3MNAA_44,534.68,2422,1,1,1
29_01_N3CEAA_44,536.01,2422,1,5,5
02_01_N3KPAA_45,532.56,2422,1,6,6
06_01_N3LBAA_45,533.58,2422,1,3,3
10_01_N3ADAA_45,531.97,2422,1,7,7
14_01_N3MUAA_45,535.07,2422,1,4,4
18_01_N3GHAA_45,534.17,2422,1,1,1
22_01_N3DXAA_45,532.55,2422,1,5,5
28_01_N3CEAA_45,532.47,2422,1,4,4
01_01_N3JUAA_46,371.16,1829,1,5,5
02_01_N3LTAA_47,372.19,1829,1,6,6
06_01_N3LKAA_47,372.86,1829,1,3,3
10_01_N3MKAA_47,370.4,1829,1,7,7
14_01_N3LRAA_47,369.32,1829,1,4,4
18_01_N3LCAA_47,373.23,1829,1,1,1
22_01_N3LNAA_47,369.11,1829,1,5,5
26_01_N3MHAA_47,369.69,1829,1,2,2
30_01_N3MEAA_47,369.84,1829,1,6,6
03_01_N877AA_48,129.74,868,1,7,7
07_01_N883AA_48,129.91,868,1,4,4
11_01_N870AA_48,129.12,868,1,1,1
15_01_N877AA_48,129.84,868,1,5,5
19_01_N883AA_48,126.53,868,1,2,2
23_01_N882AA_48,126.16,868,1,6,6
27_01_N883AA_48,128.39,868,1,3,3
31_01_N880AA_48,129.46,868,1,7,7
05_01_N4WKAA_50,91.73,550,1,2,2
10_01_N4YBAA_50,93.7,550,1,7,7
14_01_N4XTAA_50,93.2,550,1,4,4
19_01_N4XLAA_50,94.72,550,1,2,2
24_01_N4XRAA_50,93.46,550,1,7,7
28_01_N520AA_50,91.15,550,1,4,4
04_01_N437AA_51,92.67,550,1,1,1
08_01_N4YLAA_51,94.41,550,1,5,5
12_01_N4YAAA_51,94.76,550,1,2,2
16_01_N489AA_51,91.27,550,1,6,6
20_01_N570AA_51,91.04,550,1,3,3
24_01_N4XDAA_51,90.6,550,1,7,7
28_01_N439AA_51,90.83,550,1,4,4
01_01_N3MCAA_52,505.41,2311,1,5,5
05_01_N3LPAA_52,502.77,2311,1,2,2
09_01_N3MGAA_52,505.18,2311,1,6,6
13_01_N3LEAA_52,500.96,2311,1,3,3
17_01_N3MBAA_52,502.57,2311,1,7,7
21_01_N3CUAA_52,505.15,2311,1,4,4
29_01_N3MJAA_52,504.93,2311,1,5,5
02_01_N3ABAA_53,145.14,1012,1,6,6
06_01_N3EEAA_53,146.58,1012,1,3,3
10_01_N3JNAA_53,144.36,1012,1,7,7
14_01_N3ENAA_53,144.43,1012,1,4,4
18_01_N3MVAA_53,146.9,1012,1,1,1
22_01_N3GYAA_53,146.38,1012,1,5,5
26_01_N3GYAA_53,147.25,1012,1,2,2
30_01_N3LAAA_53,144.17,1012,1,6,6
03_01_N3JMAA_54,145.95,1005,1,7,7
07_01_N3CXAA_54,144.22,1005,1,4,4
11_01_N3BMAA_54,146.93,1005,1,1,1
15_01_N3JKAA_54,142.44,1005,1,5,5
19_01_N3KYAA_54,145.38,1005,1,2,2
23_01_N3KWAA_54,145.2,1005,1,6,6
27_01_N3JKAA_54,145.89,1005,1,3,3
31_01_N3CWAA_54,144.2,1005,1,7,7
04_01_N3HLAA_56,338.11,1709,1,1,1
08_01_N3FRAA_56,335.97,1709,1,5,5
12_01_N3FWAA_56,337.91,1709,1,2,2
16_01_N3EFAA_56,335.47,1709,1,6,6
