UniqueID,Price,Distance,CarrierNum,Day,DayOfBooking
06_01_N4YBAA_43,139.46,986,1,3,4
10_01_N439AA_43,140.46,986,1,7,1
14_01_N466AA_43,142.37,986,1,4,5
18_01_N566AA_43,140.66,986,1,1,2
22_01_N547AA_43,142.72,986,1,5,6
26_01_N4XPAA_43,139.18,986,1,2,3
30_01_N4XVAA_43,142.47,986,1,6,7
03_01_N4WJAA_43,144.68,986,1,7,1
07_01_N434AA_43,141.89,986,1,4,5
11_01_N468AA_43,140.68,986,1,1,2
15_01_N501AA_43,140.73,986,1,5,6
19_01_N499AA_43,141.15,986,1,2,3
23_01_N520AA_43,140.25,986,1,6,7
27_01_N4UCAA_43,139.87,986,1,3,4
31_01_N4XGAA_43,143.28,986,1,7,1
04_01_N3FWAA_44,533.11,2422,1,1,2
08_01_N3JYAA_44,531.74,2422,1,5,6
12_01_N3MLAA_44,533.89,2422,1,2,3
16_01_N3CXAA_44,535.54,2422,1,6,7
20_01_N3JNAA_44,534.93,2422,1,3,4
25_01_N3MNAA_44,532.59,2422,1,1,2
29_01_N3CEAA_44,532.22,2422,1,5,6
02_01_N3KPAA_45,531.65,2422,1,6,7
06_01_N3LBAA_45,534.55,2422,1,3,4
10_01_N3ADAA_45,535.11,2422,1,7,1
14_01_N3MUAA_45,531.77,2422,1,4,5
18_01_N3GHAA_45,536.2,2422,1,1,2
22_01_N3DXAA_45,531.52,2422,1,5,6
28_01_N3CEAA_45,533.99,2422,1,4,5
01_01_N3JUAA_46,368.94,1829,1,5,6
02_01_N3LTAA_47,369.96,1829,1,6,7
06_01_N3LKAA_47,373.35,1829,1,3,4
10_01_N3MKAA_47,369.54,1829,1,7,1
14_01_N3LRAA_47,373.12,1829,1,4,5
18_01_N3LCAA_47,370.25,1829,1,1,2
22_01_N3LNAA_47,369.87,1829,1,5,6
26_01_N3MHAA_47,372.72,1829,1,2,3
30_01_N3MEAA_47,373.1,1829,1,6,7
03_01_N877AA_48,127.99,868,1,7,1
07_01_N883AA_48,130.19,868,1,4,5
11_01_N870AA_48,128.23,868,1,1,2
15_01_N877AA_48,128.13,868,1,5,6
